TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: b4c11c9265aa3c73c6b51286b871660
TRADE LOOPS (138 total trades):
(ALCMAGALHAES) 8641540       receives (DPMPESSOA) 8641998          and sends to (DOUGLASHIPNOTISTA) 8641884
(ANDRELRUAS) 8640713         receives (SERGIMCVO) 8639823          and sends to (ROBINSONFERRARI) 8641916
(AVLEDOLIVEIRA) 8632789      receives (MISTERD909) 8632527         and sends to (MARCOS_VINICIUS) 8632255
(AVLEDOLIVEIRA) 8632799      receives (ALCMAGALHAES) 8634387       and sends to (TREMERESL) 8641845
(AVLEDOLIVEIRA) 8632801      receives (ROBERTOTJR) 8642041         and sends to (O_ENRICAO) 8641789
(AVLEDOLIVEIRA) 8632806      receives (BRUNOBENTO) 8632297         and sends to (SERGIMCVO) 8639791
(BERROLDER) 8641651          receives (GLMIRANDA) 8632133          and sends to (ENYOSALDANHA) 8642049
(BERROLDER) 8641694          receives (VOLATYLE) 8635181           and sends to (DONUBRAN) 8639497
(BRUNOBENTO) 8632297         receives (SERGIMCVO) 8639791          and sends to (AVLEDOLIVEIRA) 8632806
(BRUNOBENTO) 8632352         receives (VICAGIBSON) 8641752         and sends to (PHILLZIS) 8641702
(BRUNOBENTO) 8641618         receives (THIAGO_MATOS) 8631874       and sends to (ROBINSONFERRARI) 8641880
(BRUNOBENTO) 8641622         receives (FMDS) 8642109               and sends to (ROBINSONFERRARI) 8641901
(BRUNOBENTO) 8641624         receives (SERGIMCVO) 8642110          and sends to (VICAGIBSON) 8641752
(BRUNOBENTO) 8641661         receives (SERGIMCVO) 8642108          and sends to (SERGIMCVO) 8642158
(BRUNOBENTO) 8641734         receives (WAN42) 8636169              and sends to (SERGIMCVO) 8639854
(BRUNOBENTO) 8641784         receives (GLMIRANDA) 8632111          and sends to (O_ENRICAO) 8642125
(BRUNOBENTO) 8641793         receives (VICAGIBSON) 8641737         and sends to (FMDS) 8634535
(BRUNOBENTO) 8641797         receives (SERGIMCVO) 8639832          and sends to (M4LK4V) 8642012
(BRUNOBENTO) 8641800         receives (MARSHA09) 8629420           and sends to (ERICINLINUX) 8641931
(BRUNOBENTO) 8641823         receives (TREMERESL) 8641845          and sends to (ENYOSALDANHA) 8641463
(BRUNOBENTO) 8641836         receives (ROBINSONFERRARI) 8641901    and sends to (MARCOSFSOUZA) 8632168
(BRUNOBENTO) 8641871         receives (SERGIMCVO) 8639771          and sends to (NATHALIAOLGO) 8635653
(BRUNOBENTO) 8641879         receives (GUIFROSSARD) 8632383        and sends to (GLMIRANDA) 8632108
(DANIBOUCAS) 8641966         receives (THIAGO_MATOS) 8631873       and sends to (MISTERD909) 8632525
(DANIBOUCAS) 8641969         receives (THIAGO_MATOS) 8631879       and sends to (THIAGO_MATOS) 8631879
(DANIBOUCAS) 8641971         receives (O_ENRICAO) 8642125          and sends to (MARSHA09) 8629420
(DONUBRAN) 8639497           receives (BERROLDER) 8641694          and sends to (LUCASCMEDEIROS) 8629994
(DONUBRAN) 8639500           receives (GENTLEPYRO) 8632303         and sends to (THUNDERXT) 8637194
(DOUGLASHIPNOTISTA) 8641884  receives (ALCMAGALHAES) 8641540       and sends to (THIAGO_MATOS) 8631874
(DOUGLASHIPNOTISTA) 8641964  receives (TREMERESL) 8641839          and sends to (MARCOSGPMELO) 8641999
(DOUGLASHIPNOTISTA) 8641980  receives (GLMIRANDA) 8632124          and sends to (MARCUSWQUIRINO) 8639489
(DOUGLASHIPNOTISTA) 8641987  receives (PSCHULMAN) 8640119          and sends to (LUCASCMEDEIROS) 8635449
(DPMPESSOA) 8641998          receives (MARSHA09) 8629384           and sends to (ALCMAGALHAES) 8641540
(ENYOSALDANHA) 8641461       receives (ROBINSONFERRARI) 8641849    and sends to (PHILLZIS) 8633303
(ENYOSALDANHA) 8641463       receives (BRUNOBENTO) 8641823         and sends to (THIAGO_MATOS) 8633964
(ENYOSALDANHA) 8642049       receives (BERROLDER) 8641651          and sends to (RODRIGOFMADUIREIRA) 8641753
(ERICINLINUX) 8641931        receives (BRUNOBENTO) 8641800         and sends to (ROBERTOTJR) 8642041
(FILIPERR) 8641617           receives (THIAGO_MATOS) 8631872       and sends to (SERGIMCVO) 8639780
(FMDS) 8634530               receives (LUCASCMEDEIROS) 8642258     and sends to (MARCOS_VINICIUS) 8632265
(FMDS) 8634535               receives (BRUNOBENTO) 8641793         and sends to (SERGIMCVO) 8639771
(FMDS) 8634549               receives (MARCOSFSOUZA) 8632186       and sends to (SERGIMCVO) 8642136
(FMDS) 8634595               receives (SERGIMCVO) 8642160          and sends to (RMCORREA) 8638681
(FMDS) 8642109               receives (MARCOSFSOUZA) 8632231       and sends to (BRUNOBENTO) 8641622
(GENTLEPYRO) 8632303         receives (SERGIMCVO) 8642124          and sends to (DONUBRAN) 8639500
(GLMIRANDA) 8632090          receives (SERGIMCVO) 8642158          and sends to (ROBINSONFERRARI) 8641833
(GLMIRANDA) 8632099          receives (MARSHA09) 8629343           and sends to (RMCORREA) 8638677
(GLMIRANDA) 8632105          receives (ROBINSONFERRARI) 8641808    and sends to (GTORRES87) 8640393
(GLMIRANDA) 8632108          receives (BRUNOBENTO) 8641879         and sends to (MARSHA09) 8629343
(GLMIRANDA) 8632111          receives (MARCOS_VINICIUS) 8632265    and sends to (BRUNOBENTO) 8641784
(GLMIRANDA) 8632124          receives (MARCUSWQUIRINO) 8639489     and sends to (DOUGLASHIPNOTISTA) 8641980
(GLMIRANDA) 8632133          receives (RODRIGOFMADUIREIRA) 8641753 and sends to (BERROLDER) 8641651
(GLMIRANDA) 8641807          receives (LUCASCMEDEIROS) 8642251     and sends to (ALCMAGALHAES) 8634387
(GTORRES87) 8640393          receives (GLMIRANDA) 8632105          and sends to (LUCASCMEDEIROS) 8642258
(GUIFROSSARD) 8632383        receives (LUCASCMEDEIROS) 8635449     and sends to (BRUNOBENTO) 8641879
(LUCASCMEDEIROS) 8629994     receives (DONUBRAN) 8639497           and sends to (THIAGO_MATOS) 8636385
(LUCASCMEDEIROS) 8635449     receives (DOUGLASHIPNOTISTA) 8641987  and sends to (GUIFROSSARD) 8632383
(LUCASCMEDEIROS) 8635451     receives (ROBINSONFERRARI) 8641916    and sends to (VOLATYLE) 8635181
(LUCASCMEDEIROS) 8642250     receives (MARCOSFSOUZA) 8632101       and sends to (VOLATYLE) 8635185
(LUCASCMEDEIROS) 8642251     receives (VOLATYLE) 8635185           and sends to (GLMIRANDA) 8641807
(LUCASCMEDEIROS) 8642258     receives (GTORRES87) 8640393          and sends to (FMDS) 8634530
(M4LK4V) 8642003             receives (PHILLZIS) 8641895           and sends to (SERGIMCVO) 8642124
(M4LK4V) 8642012             receives (BRUNOBENTO) 8641797         and sends to (PSCHULMAN) 8640119
(MARCOSFSOUZA) 8632101       receives (O_ENRICAO) 8641817          and sends to (LUCASCMEDEIROS) 8642250
(MARCOSFSOUZA) 8632168       receives (BRUNOBENTO) 8641836         and sends to (SERGIMCVO) 8642121
(MARCOSFSOUZA) 8632186       receives (SERGIMCVO) 8642121          and sends to (FMDS) 8634549
(MARCOSFSOUZA) 8632231       receives (PHILLZIS) 8641702           and sends to (FMDS) 8642109
(MARCOSGPMELO) 8641999       receives (DOUGLASHIPNOTISTA) 8641964  and sends to (TREMERESL) 8641818
(MARCOSGPMELO) 8642009       receives (NATHALIAOLGO) 8635653       and sends to (MARSHA09) 8641767
(MARCOS_VINICIUS) 8632255    receives (AVLEDOLIVEIRA) 8632789      and sends to (PHILLZIS) 8641895
(MARCOS_VINICIUS) 8632265    receives (FMDS) 8634530               and sends to (GLMIRANDA) 8632111
(MARCUSWQUIRINO) 8639489     receives (DOUGLASHIPNOTISTA) 8641980  and sends to (GLMIRANDA) 8632124
(MARSHA09) 8629343           receives (GLMIRANDA) 8632108          and sends to (GLMIRANDA) 8632099
(MARSHA09) 8629384           receives (SERGIMCVO) 8639854          and sends to (DPMPESSOA) 8641998
(MARSHA09) 8629386           receives (ROBINSONFERRARI) 8641880    and sends to (MISTERD909) 8632527
(MARSHA09) 8629420           receives (DANIBOUCAS) 8641971         and sends to (BRUNOBENTO) 8641800
(MARSHA09) 8641767           receives (MARCOSGPMELO) 8642009       and sends to (TATO30001) 8632460
(MISTERD909) 8632525         receives (DANIBOUCAS) 8641966         and sends to (SALOMONFE) 8636474
(MISTERD909) 8632527         receives (MARSHA09) 8629386           and sends to (AVLEDOLIVEIRA) 8632789
(NANDONEVES2404) 8632369     receives (NATHALIAOLGO) 8635693       and sends to (THIAGO_MATOS) 8631873
(NATHALIAOLGO) 8635653       receives (BRUNOBENTO) 8641871         and sends to (MARCOSGPMELO) 8642009
(NATHALIAOLGO) 8635693       receives (THIAGO_MATOS) 8636385       and sends to (NANDONEVES2404) 8632369
(O_ENRICAO) 8641789          receives (AVLEDOLIVEIRA) 8632801      and sends to (TREMERESL) 8641826
(O_ENRICAO) 8641817          receives (ROBERTOTJR) 8642105         and sends to (MARCOSFSOUZA) 8632101
(O_ENRICAO) 8642125          receives (BRUNOBENTO) 8641784         and sends to (DANIBOUCAS) 8641971
(PHILLZIS) 8633303           receives (ENYOSALDANHA) 8641461       and sends to (WAN42) 8636169
(PHILLZIS) 8641702           receives (BRUNOBENTO) 8632352         and sends to (MARCOSFSOUZA) 8632231
(PHILLZIS) 8641895           receives (MARCOS_VINICIUS) 8632255    and sends to (M4LK4V) 8642003
(PSCHULMAN) 8640119          receives (M4LK4V) 8642012             and sends to (DOUGLASHIPNOTISTA) 8641987
(REDOUTLAW) 8631736          receives (THUNDERXT) 8637194          and sends to (WAN42) 8636167
(RMCORREA) 8638677           receives (GLMIRANDA) 8632099          and sends to (SERGIMCVO) 8642160
(RMCORREA) 8638681           receives (FMDS) 8634595               and sends to (THIAGO_MATOS) 8631872
(ROBERTOTJR) 8642041         receives (ERICINLINUX) 8641931        and sends to (AVLEDOLIVEIRA) 8632801
(ROBERTOTJR) 8642105         receives (TATO30001) 8632460          and sends to (O_ENRICAO) 8641817
(ROBINSONFERRARI) 8641808    receives (SERGIMCVO) 8642147          and sends to (GLMIRANDA) 8632105
(ROBINSONFERRARI) 8641833    receives (GLMIRANDA) 8632090          and sends to (SERGIMCVO) 8639823
(ROBINSONFERRARI) 8641849    receives (TREMERESL) 8641818          and sends to (ENYOSALDANHA) 8641461
(ROBINSONFERRARI) 8641880    receives (BRUNOBENTO) 8641618         and sends to (MARSHA09) 8629386
(ROBINSONFERRARI) 8641901    receives (BRUNOBENTO) 8641622         and sends to (BRUNOBENTO) 8641836
(ROBINSONFERRARI) 8641916    receives (ANDRELRUAS) 8640713         and sends to (LUCASCMEDEIROS) 8635451
(RODRIGOFMADUIREIRA) 8641753 receives (ENYOSALDANHA) 8642049       and sends to (GLMIRANDA) 8632133
(SALOMONFE) 8636474          receives (MISTERD909) 8632525         and sends to (SERGIMCVO) 8639832
(SERGIMCVO) 8639771          receives (FMDS) 8634535               and sends to (BRUNOBENTO) 8641871
(SERGIMCVO) 8639780          receives (FILIPERR) 8641617           and sends to (ALCMAGALHAES) 8640572
(SERGIMCVO) 8639791          receives (AVLEDOLIVEIRA) 8632806      and sends to (BRUNOBENTO) 8632297
(SERGIMCVO) 8639823          receives (ROBINSONFERRARI) 8641833    and sends to (ANDRELRUAS) 8640713
(SERGIMCVO) 8639832          receives (SALOMONFE) 8636474          and sends to (BRUNOBENTO) 8641797
