TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: c7cf1ff73cd57943d18ae17fe274f46
TRADE LOOPS (137 total trades):
(BRUNOBENTO) 8641797         receives (SERGIMCVO) 8639832          and sends to (M4LK4V) 8642012
(BRUNOBENTO) 8641823         receives (GLMIRANDA) 8632111          and sends to (ENYOSALDANHA) 8641463
(BRUNOBENTO) 8641848         receives (VICAGIBSON) 8641737         and sends to (MARCOS_VINICIUS) 8632265
(BRUNOBENTO) 8641871         receives (SERGIMCVO) 8642110          and sends to (NATHALIAOLGO) 8635653
(BRUNOBENTO) 8641879         receives (GUIFROSSARD) 8632383        and sends to (GLMIRANDA) 8632108
(BRUNOBENTO) 8641935         receives (HICKMORAIS) 8638353         and sends to (ERICINLINUX) 8641931
(DANIBOUCAS) 8641966         receives (ROBINSONFERRARI) 8641808    and sends to (MISTERD909) 8632525
(DANIBOUCAS) 8641969         receives (THIAGO_MATOS) 8631879       and sends to (THIAGO_MATOS) 8631879
(DANIBOUCAS) 8641971         receives (O_ENRICAO) 8642125          and sends to (MARSHA09) 8629420
(DANIBOUCAS) 8641977         receives (LUCASCMEDEIROS) 8629990     and sends to (FMDS) 8634535
(DANIELCS) 8640478           receives (FMDS) 8634603               and sends to (LUCASCMEDEIROS) 8642251
(DONUBRAN) 8639497           receives (BERROLDER) 8641694          and sends to (LUCASCMEDEIROS) 8635451
(DONUBRAN) 8639500           receives (GENTLEPYRO) 8632303         and sends to (THUNDERXT) 8637194
(DOUGLASHIPNOTISTA) 8641884  receives (ALCMAGALHAES) 8641540       and sends to (THIAGO_MATOS) 8631874
(DOUGLASHIPNOTISTA) 8641914  receives (TREMERESL) 8641839          and sends to (MARCOSGPMELO) 8642009
(DOUGLASHIPNOTISTA) 8641964  receives (GLMIRANDA) 8632124          and sends to (MARCOSGPMELO) 8641999
(DOUGLASHIPNOTISTA) 8641987  receives (PSCHULMAN) 8640119          and sends to (LUCASCMEDEIROS) 8635449
(DPMPESSOA) 8641998          receives (MARSHA09) 8629384           and sends to (ALCMAGALHAES) 8641540
(ENYOSALDANHA) 8641461       receives (ROBINSONFERRARI) 8641849    and sends to (PHILLZIS) 8633303
(ENYOSALDANHA) 8641463       receives (BRUNOBENTO) 8641823         and sends to (THIAGO_MATOS) 8633964
(ENYOSALDANHA) 8642049       receives (BERROLDER) 8641651          and sends to (RODRIGOFMADUIREIRA) 8641753
(ERICINLINUX) 8641931        receives (BRUNOBENTO) 8641935         and sends to (ROBERTOTJR) 8642041
(FILIPERR) 8641617           receives (THIAGO_MATOS) 8631872       and sends to (YAKKOOWARNER) 8641746
(FMDS) 8634535               receives (DANIBOUCAS) 8641977         and sends to (SERGIMCVO) 8639791
(FMDS) 8634549               receives (MARCOSFSOUZA) 8632186       and sends to (SERGIMCVO) 8642136
(FMDS) 8634595               receives (SERGIMCVO) 8642160          and sends to (RMCORREA) 8638681
(FMDS) 8634603               receives (TREMERESL) 8641826          and sends to (DANIELCS) 8640478
(FMDS) 8642109               receives (BRUNOBENTO) 8641793         and sends to (BRUNOBENTO) 8632297
(GENTLEPYRO) 8632303         receives (SERGIMCVO) 8642124          and sends to (DONUBRAN) 8639500
(GLMIRANDA) 8632090          receives (SERGIMCVO) 8642158          and sends to (ROBINSONFERRARI) 8641833
(GLMIRANDA) 8632099          receives (MARSHA09) 8629343           and sends to (RMCORREA) 8638677
(GLMIRANDA) 8632108          receives (BRUNOBENTO) 8641879         and sends to (MARSHA09) 8629343
(GLMIRANDA) 8632111          receives (MARCOS_VINICIUS) 8632265    and sends to (BRUNOBENTO) 8641823
(GLMIRANDA) 8632124          receives (MARCUSWQUIRINO) 8639489     and sends to (DOUGLASHIPNOTISTA) 8641964
(GLMIRANDA) 8632133          receives (RODRIGOFMADUIREIRA) 8641753 and sends to (BERROLDER) 8641651
(GLMIRANDA) 8641807          receives (LUCASCMEDEIROS) 8642251     and sends to (ALCMAGALHAES) 8634387
(GUIFROSSARD) 8632383        receives (LUCASCMEDEIROS) 8635449     and sends to (BRUNOBENTO) 8641879
(HICKMORAIS) 8638353         receives (THUNDERXT) 8637194          and sends to (BRUNOBENTO) 8641935
(LUCASCMEDEIROS) 8629990     receives (MARCOSFSOUZA) 8632101       and sends to (DANIBOUCAS) 8641977
(LUCASCMEDEIROS) 8629994     receives (ROBINSONFERRARI) 8641916    and sends to (THIAGO_MATOS) 8636385
(LUCASCMEDEIROS) 8635449     receives (DOUGLASHIPNOTISTA) 8641987  and sends to (GUIFROSSARD) 8632383
(LUCASCMEDEIROS) 8635451     receives (DONUBRAN) 8639497           and sends to (VOLATYLE) 8635181
(LUCASCMEDEIROS) 8642250     receives (VOLATYLE) 8635185           and sends to (REDOUTLAW) 8631736
(LUCASCMEDEIROS) 8642251     receives (DANIELCS) 8640478           and sends to (GLMIRANDA) 8641807
(M4LK4V) 8642003             receives (PHILLZIS) 8641895           and sends to (SERGIMCVO) 8642124
(M4LK4V) 8642012             receives (BRUNOBENTO) 8641797         and sends to (PSCHULMAN) 8640119
(MARCOSFSOUZA) 8632101       receives (O_ENRICAO) 8641817          and sends to (LUCASCMEDEIROS) 8629990
(MARCOSFSOUZA) 8632186       receives (SERGIMCVO) 8642121          and sends to (FMDS) 8634549
(MARCOSFSOUZA) 8632223       receives (PHILLZIS) 8641702           and sends to (MARSHA09) 8629461
(MARCOSGPMELO) 8641999       receives (DOUGLASHIPNOTISTA) 8641964  and sends to (TREMERESL) 8641818
