TradeMaximizer Version 1.4aMT
Input from: ./julho2021/wants.txt
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: ec726b75b2a0361c2bf12d607de6f2b5
TRADE LOOPS (396 total trades):

(TREMERESL) 8388615        receives (IVANPUMA) 8388371
(IVANPUMA) 8388371         receives (THIAGO_MATOS) 8382514
(THIAGO_MATOS) 8382514     receives (NANDONEVES2404) 8379909
(NANDONEVES2404) 8379909   receives (JACOMINI) 8388140
(JACOMINI) 8388140         receives (ANDRELRUAS) 8382960
(ANDRELRUAS) 8382960       receives (FMDS) 8387352
(FMDS) 8387352             receives (NICKOUNO) 8388629
(NICKOUNO) 8388629         receives (ARAGAKI SAN) 8388262
(ARAGAKI SAN) 8388262      receives (MARCOS_VINICIUS) 8380060
(MARCOS_VINICIUS) 8380060  receives (PATTY_TASS) 8388486
(PATTY_TASS) 8388486       receives (SERGIMCVO) 8380427
(SERGIMCVO) 8380427        receives (MARIDRUMMOND) 8385966
(MARIDRUMMOND) 8385966     receives (ARAGAKI SAN) 8388284
(ARAGAKI SAN) 8388284      receives (JACOMINI) 8388173
(JACOMINI) 8388173         receives (PSYCHOBIO) 8386742
(PSYCHOBIO) 8386742        receives (NANDONEVES2404) 8379876
(NANDONEVES2404) 8379876   receives (SERGIMCVO) 8380422
(SERGIMCVO) 8380422        receives (JOGOSTESTAGEM) 8381817
(JOGOSTESTAGEM) 8381817    receives (LUISH) 8386541
(LUISH) 8386541            receives (AVLEDOLIVEIRA) 8384584
(AVLEDOLIVEIRA) 8384584    receives (MARCOS_VINICIUS) 8380063
(MARCOS_VINICIUS) 8380063  receives (PHILLZIS) 8383474
(PHILLZIS) 8383474         receives (MARCOS_VINICIUS) 8380091
(MARCOS_VINICIUS) 8380091  receives (LUCASCMEDEIROS) 8380344
(LUCASCMEDEIROS) 8380344   receives (LUISH) 8386180
(LUISH) 8386180            receives (LUCASCMEDEIROS) 8384421
(LUCASCMEDEIROS) 8384421   receives (ALISONARANTES) 8382880
(ALISONARANTES) 8382880    receives (TATO30001) 8386864
(TATO30001) 8386864        receives (LINKIGOR) 8388145
(LINKIGOR) 8388145         receives (SERGIMCVO) 8383905
(SERGIMCVO) 8383905        receives (ROBERTOTJR) 8379671
(ROBERTOTJR) 8379671       receives (MARSHA09) 8388210
(MARSHA09) 8388210         receives (SLATERS) 8386277
(SLATERS) 8386277          receives (SERGIMCVO) 8388090
(SERGIMCVO) 8388090        receives (BRUNOBENTO) 8387175
(BRUNOBENTO) 8387175       receives (ARAGAKI SAN) 8388646
(ARAGAKI SAN) 8388646      receives (PSCHULMAN) 8379933
(PSCHULMAN) 8379933        receives (RMCORREA) 8381674
(RMCORREA) 8381674         receives (PSCHULMAN) 8382857
(PSCHULMAN) 8382857        receives (GLMIRANDA) 8388696
(GLMIRANDA) 8388696        receives (PATTY_TASS) 8388415
(PATTY_TASS) 8388415       receives (PSYCHOBIO) 8386634
(PSYCHOBIO) 8386634        receives (NYANRICK22) 8380444
(NYANRICK22) 8380444       receives (ALCMAGALHAES) 8380829

(ALCMAGALHAES) 8380830     receives (BRUNOBENTO) 8387180
(BRUNOBENTO) 8387180       receives (PATTY_TASS) 8388410
(PATTY_TASS) 8388410       receives (M4LK4V) 8380088
(M4LK4V) 8380088           receives (GATTONI) 8384512
(GATTONI) 8384512          receives (ALCMAGALHAES) 8380839
(ALCMAGALHAES) 8380839     receives (ROBINSONFERRARI) 8388017
(ROBINSONFERRARI) 8388017  receives (ALISONARANTES) 8383019
(ALISONARANTES) 8383019    receives (NIEB) 8382387
(NIEB) 8382387             receives (PATTY_TASS) 8388420
(PATTY_TASS) 8388420       receives (ALISONARANTES) 8379958
